,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,capture_id,image_rank_in_capture,image_path_rel,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_visible,p_users_identified_this_species,pielous_evenness_index,labels,label,file,bbox,max_detection_conf,question__species
5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,9657,ENO_S1#C05#1#565,2,ENO_S1/C05/C05_R1/ENO_S1_C05_R1_IMAG1168.JPG,ENO_S1,C05,1,558,2018-09-29,06:30:47,31954708,5,4,3,0.11,0.0,1.0,0.67,0.11,0.0,,0.9,0.47,13,2.0,ENO_S1/C05/C05_R1/ENO_S1_C05_R1_IMAG1168.JPG,"[0.367, 0.439, 0.007, 0.01]",0.925,wildebeest
6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,6373,11759,ENO_S1#C05#2#158,1,ENO_S1/C05/C05_R2/ENO_S1_C05_R2_IMAG0360.JPG,ENO_S1,C05,2,156,2018-11-03,04:18:00,31955255,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,9,32.0,ENO_S1/C05/C05_R2/ENO_S1_C05_R2_IMAG0360.JPG,"[0.484, 0.491, 0.128, 0.229]",0.972,hyena
766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766,856,ENO_S1#B02#1#238,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0614.JPG,ENO_S1,B02,1,235,2018-11-14,13:37:29,31877476,2,2,1,0.33,0.22,0.89,0.0,0.33,0.0,,0.9,0.66,2,,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0614.JPG,"[0.551, 0.272, 0.007, 0.007]",0.488,warthog
7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,15016,ENO_S1#D02#1#50,3,ENO_S1/D02/D02_R1/ENO_S1_D02_R1_IMAG0082.JPG,ENO_S1,D02,1,48,2018-10-09,09:14:50,31957551,3,2,1,0.2,0.0,0.9,0.6,0.0,0.0,,1.0,0.0,1,15.0,ENO_S1/D02/D02_R1/ENO_S1_D02_R1_IMAG0082.JPG,"[0.711, 0.5, 0.06, 0.041]",0.967,zebra
5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,8156,ENO_S1#C04#2#83,3,ENO_S1/C04/C04_R2/ENO_S1_C04_R2_IMAG0145.JPG,ENO_S1,C04,2,82,2018-11-06,09:03:55,31953930,1,1,1,0.1,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,13,2.0,ENO_S1/C04/C04_R2/ENO_S1_C04_R2_IMAG0145.JPG,"[0.403, 0.265, 0.205, 0.249]",0.972,wildebeest
1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,3378,ENO_S1#B05#1#54,2,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0123.JPG,ENO_S1,B05,1,53,2018-10-03,16:00:09,31951795,1,1,1,0.2,0.0,0.9,0.0,0.0,0.0,,1.0,0.0,2,,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0123.JPG,"[0.66, 0.433, 0.071, 0.168]",0.958,warthog
9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,9029,20373,ENO_S1#D04#2#499,3,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG1293.JPG,ENO_S1,D04,2,490,2018-11-29,09:52:54,31960226,11-50,9,1,0.36,0.73,0.27,0.82,0.0,0.27,,1.0,0.0,13,2.0,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG1293.JPG,"[0.22, 0.145, 0.01, 0.016]",0.965,wildebeest
7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,7998,15167,ENO_S1#D02#1#126,1,ENO_S1/D02/D02_R1/ENO_S1_D02_R1_IMAG0236.JPG,ENO_S1,D02,1,121,2018-11-29,01:20:33,31957479,2,1,1,0.14,0.0,0.0,0.86,0.0,0.0,0.0,0.7,0.68,2,,ENO_S1/D02/D02_R1/ENO_S1_D02_R1_IMAG0236.JPG,"[0.708, 0.368, 0.23, 0.266]",0.966,warthog
2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,4827,ENO_S1#B05#2#371,1,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG0955.JPG,ENO_S1,B05,2,367,2018-11-29,17:40:26,31952144,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.99,9,32.0,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG0955.JPG,"[0, 0.484, 0.048, 0.093]",0.947,hyena
4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,7251,ENO_S1#C04#1#17,3,ENO_S1/C04/C04_R1/ENO_S1_C04_R1_IMAG0043.JPG,ENO_S1,C04,1,17,2018-09-24,06:40:31,31953395,2,2,1,0.0,0.0,0.0,1.0,0.0,0.0,,0.2,0.75,26,,ENO_S1/C04/C04_R1/ENO_S1_C04_R1_IMAG0043.JPG,"[0.698, 0.392, 0.012, 0.012]",0.623,rhinoceros
8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,8396,19075,ENO_S1#D04#2#49,1,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG0081.JPG,ENO_S1,D04,2,46,2018-10-17,07:32:18,31960216,10,1,1,0.2,0.0,0.8,0.0,0.0,0.0,,0.5,0.76,13,2.0,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG0081.JPG,"[0.11, 0.187, 0.006, 0.007]",0.808,wildebeest
2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,2997,4882,ENO_S1#B05#2#395,1,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG1009.JPG,ENO_S1,B05,2,390,2018-12-02,06:42:56,31952169,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,7,19.0,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG1009.JPG,"[0.981, 0.378, 0.019, 0.204]",0.308,baboon
5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,5186,8027,ENO_S1#C04#2#10,1,ENO_S1/C04/C04_R2/ENO_S1_C04_R2_IMAG0020.JPG,ENO_S1,C04,2,10,2018-10-28,11:24:53,31953729,1,1,1,0.67,0.0,0.0,0.33,0.0,0.0,,0.3,0.92,38,0.0,ENO_S1/C04/C04_R2/ENO_S1_C04_R2_IMAG0020.JPG,"[0.848, 0.26, 0.01, 0.014]",0.848,hartebeest
2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,2252,4021,ENO_S1#B05#2#72,3,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG0180.JPG,ENO_S1,B05,2,71,2018-11-02,11:35:36,31952228,1,1,1,0.12,0.0,0.0,1.0,0.0,0.0,0.88,0.8,0.58,11,,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG0180.JPG,"[0.121, 0.277, 0.03, 0.063]",0.959,impala
3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,5232,ENO_S1#B06#1#104,2,ENO_S1/B06/B06_R1/ENO_S1_B06_R1_IMAG0251.JPG,ENO_S1,B06,1,103,2018-10-07,07:00:13,31952264,2,2,2,0.2,0.0,1.0,0.0,0.0,0.8,,1.0,0.44,2,,ENO_S1/B06/B06_R1/ENO_S1_B06_R1_IMAG0251.JPG,"[0.836, 0.489, 0.048, 0.044]",0.95,warthog
1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372,1505,ENO_S1#B02#1#444,3,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG1092.JPG,ENO_S1,B02,1,439,2018-11-28,12:52:37,31877953,11-50,11-50,11-50,0.83,0.0,0.33,0.5,0.0,0.0,,0.6,0.77,6,10.0,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG1092.JPG,"[0.795, 0.292, 0.006, 0.013]",0.525,birdother
5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,5990,10976,ENO_S1#C05#1#1059,3,ENO_S1/C05/C05_R1/ENO_S1_C05_R1_IMAG2455.JPG,ENO_S1,C05,1,1046,2018-10-22,09:45:01,31954015,3,1,1,0.33,0.0,1.0,0.0,0.0,0.0,,0.6,0.86,13,2.0,ENO_S1/C05/C05_R1/ENO_S1_C05_R1_IMAG2455.JPG,"[0.364, 0.431, 0.008, 0.012]",0.029,wildebeest
