,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,capture_id,image_rank_in_capture,image_path_rel,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index,labels,label,file,bbox,max_detection_conf,question__species
764,764,764,764,764,764,764,764,764,764,764,764,764,764,764,764,764,2093,KGA_S1#A06#1#50,2,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0139.JPG,KGA_S1,A06,1,50,2018-12-02,07:30:28,33327991,4,3.0,1.0,0.4,0.0,1.0,0.3,0.0,0.0,,,,1.0,0.0,42,16.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0139.JPG,"[0, 0, 0.383, 0.77]",0.952,gemsbok
247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,548,KGA_S1#A01#1#206,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0554.JPG,KGA_S1,A01,1,206,2018-11-17,06:55:53,33327201,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0554.JPG,"[0.631, 0.201, 0.201, 0.318]",0.968,gemsbok
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,64,KGA_S1#A01#1#35,3,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0069.JPG,KGA_S1,A01,1,35,2018-10-28,09:36:26,33326977,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0069.JPG,"[0.528, 0.202, 0.012, 0.008]",0.928,gemsbok
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,127,KGA_S1#A01#1#57,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0132.JPG,KGA_S1,A01,1,57,2018-10-31,18:27:58,33326999,2,2.0,2.0,0.0,0.0,0.9,0.4,0.0,0.0,,,,1.0,0.0,42,16.0,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0132.JPG,"[0.575, 0.33, 0.425, 0.466]",0.97,gemsbok
1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,3921,KGA_S1#B01#1#24,2,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0043.JPG,KGA_S1,B01,1,24,2018-12-19,06:44:12,33328757,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0043.JPG,"[0.05, 0, 0.95, 0.692]",0.974,gemsbok
1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,9766,KGA_S1#B09#1#10,3,KGA_S1/B09/B09_R1/KGA_S1_B09_R1_IMAG0030.JPG,KGA_S1,B09,1,10,2018-11-29,11:35:00,33333104,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KGA_S1/B09/B09_R1/KGA_S1_B09_R1_IMAG0030.JPG,"[0.0, 0.002, 0.541, 0.831]",0.975,gemsbok
461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,1193,KGA_S1#A04#1#30,2,KGA_S1/A04/A04_R1/KGA_S1_A04_R1_IMAG0081.JPG,KGA_S1,A04,1,30,2018-12-09,18:32:15,33327616,4,4.0,1.0,0.2,0.0,0.2,0.7,0.1,0.1,,,,0.91,0.44,42,16.0,KGA_S1/A04/A04_R1/KGA_S1_A04_R1_IMAG0081.JPG,"[0, 0, 0.999, 0.969]",0.147,gemsbok
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,63,KGA_S1#A01#1#35,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0068.JPG,KGA_S1,A01,1,35,2018-10-28,09:36:26,33326977,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0068.JPG,"[0.528, 0.203, 0.012, 0.008]",0.93,gemsbok
903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,903,2467,KGA_S1#A06#1#190,1,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0512.JPG,KGA_S1,A06,1,190,2019-01-01,07:54:58,33328129,6,5.0,4.0,0.6,0.0,0.8,0.8,0.0,0.2,,,,1.0,0.0,42,16.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0512.JPG,"[0.403, 0.409, 0.014, 0.031]",0.961,gemsbok
532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,1312,KGA_S1#A04#1#76,2,KGA_S1/A04/A04_R1/KGA_S1_A04_R1_IMAG0203.JPG,KGA_S1,A04,1,76,2018-12-25,17:02:04,33327679,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.91,0.44,6,10.0,KGA_S1/A04/A04_R1/KGA_S1_A04_R1_IMAG0203.JPG,,0.0,birdother
