,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,capture_id,image_rank_in_capture,image_path_rel,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index,labels,label,file,bbox,max_detection_conf,question__species
440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,625,KAR_S1#A02#1#122,2,KAR_S1/A02/A02_R1/KAR_S1_A02_R1_IMAG0319.JPG,KAR_S1,A02,1,122,2017-12-17,16:37:02,28794905,1,1,1,0.9,0.0,0.1,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KAR_S1/A02/A02_R1/KAR_S1_A02_R1_IMAG0319.JPG,"[0.09, 0.011, 0.853, 0.94]",0.986,gemsbok
2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,2285,9882,KAR_S1#B03#1#260,3,KAR_S1/B03/B03_R1/KAR_S1_B03_R1_IMAG0686.JPG,KAR_S1,B03,1,260,2017-12-11,21:42:19,28804257,1,1,1,0.89,0.0,0.11,0.0,0.0,0.0,,,,0.9,0.47,38,0.0,KAR_S1/B03/B03_R1/KAR_S1_B03_R1_IMAG0686.JPG,"[0.847, 0.001, 0.153, 0.947]",0.719,hartebeest
2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,2822,10506,KAR_S1#B03#1#476,3,KAR_S1/B03/B03_R1/KAR_S1_B03_R1_IMAG1310.JPG,KAR_S1,B03,1,476,2018-01-05,00:42:13,28804999,2,1,1,0.83,0.17,0.17,0.0,0.0,0.0,,,,0.75,0.72,38,0.0,KAR_S1/B03/B03_R1/KAR_S1_B03_R1_IMAG1310.JPG,,0.0,hartebeest
562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,562,764,KAR_S1#A02#1#170,3,KAR_S1/A02/A02_R1/KAR_S1_A02_R1_IMAG0458.JPG,KAR_S1,A02,1,170,2018-01-10,15:36:33,28794953,1,1,1,0.7,0.1,0.2,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KAR_S1/A02/A02_R1/KAR_S1_A02_R1_IMAG0458.JPG,"[0.753, 0.096, 0.247, 0.871]",0.921,gemsbok
4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,4748,24026,KAR_S1#D04#1#192,2,KAR_S1/D04/D04_R1/KAR_S1_D04_R1_IMAG0553.JPG,KAR_S1,D04,1,192,2017-12-29,10:32:16,28735080,1,1,1,0.22,0.0,0.89,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KAR_S1/D04/D04_R1/KAR_S1_D04_R1_IMAG0553.JPG,"[0.692, 0.342, 0.015, 0.014]",0.657,gemsbok
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,198,KAR_S1#A01#1#197,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00204.JPG,KAR_S1,A01,1,197,2018-01-08,06:22:23,28794676,1,1,1,0.09,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,33,11.0,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00204.JPG,"[0.296, 0.27, 0.008, 0.009]",0.926,eland
5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,5057,24462,KAR_S1#E01#1#34,3,KAR_S1/E01/E01_R1/KAR_S1_E01_R1_IMAG0090.JPG,KAR_S1,E01,1,34,2017-10-21,10:37:08,28735233,2,1,1,0.17,0.0,0.67,0.17,0.17,0.0,2.0,1.0,1.0,0.67,0.72,4,8.0,KAR_S1/E01/E01_R1/KAR_S1_E01_R1_IMAG0090.JPG,"[0, 0.691, 0.083, 0.277]",0.993,kudu
3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,3962,22634,KAR_S1#D01#1#47,3,KAR_S1/D01/D01_R1/KAR_S1_D01_R1_IMAG0133.JPG,KAR_S1,D01,1,47,2017-11-21,08:37:49,28734516,1,1,1,0.18,0.0,0.82,0.09,0.0,0.0,,,,1.0,0.0,42,16.0,KAR_S1/D01/D01_R1/KAR_S1_D01_R1_IMAG0133.JPG,"[0.781, 0.213, 0.219, 0.534]",0.952,gemsbok
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,81,KAR_S1#A01#1#82,1,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00089.JPG,KAR_S1,A01,1,82,2017-11-30,10:45:19,28794561,1,1,1,0.4,0.0,0.1,0.5,0.0,0.0,,,,1.0,0.0,42,16.0,KAR_S1/A01/A01_R1/KAR_S1_A01_R1_IMAG00089.JPG,"[0, 0.23, 0.07, 0.392]",0.939,gemsbok
264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,369,KAR_S1#A02#1#24,2,KAR_S1/A02/A02_R1/KAR_S1_A02_R1_IMAG0063.JPG,KAR_S1,A02,1,24,2017-10-13,14:27:26,28794807,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,42,16.0,KAR_S1/A02/A02_R1/KAR_S1_A02_R1_IMAG0063.JPG,"[0.11, 0.33, 0.245, 0.365]",0.978,gemsbok
