,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,capture_id,image_rank_in_capture,image_path_rel,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_visible,p_users_identified_this_species,pielous_evenness_index,labels,label,file,bbox,max_detection_conf,question__species
5573,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,1726,3423,ENO_S1#B05#1#71,2,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0168.JPG,ENO_S1,B05,1,70,2018-10-04,12:57:35,31951814,2,2,1,0.1,0.0,1.0,0.0,0.0,0.1,,1.0,0.63,29,1.0,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0168.JPG,"[0, 0.529, 0.035, 0.057]",0.432,monkey
6373,7637,7637,7637,7637,7637,7637,7637,7637,7637,7637,7637,7637,7637,7637,7637,7637,13168,ENO_S1#C05#2#693,1,ENO_S1/C05/C05_R2/ENO_S1_C05_R2_IMAG1617.JPG,ENO_S1,C05,2,677,2018-12-02,05:38:55,31955840,1,1,1,0.0,1.0,0.0,0.0,0.0,,,0.2,1.0,30,,ENO_S1/C05/C05_R2/ENO_S1_C05_R2_IMAG1617.JPG,"[0.317, 0.399, 0.029, 0.051]",0.446,cheetah
766,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,2649,ENO_S1#B03#1#393,1,ENO_S1/B03/B03_R1/ENO_S1_B03_R1_IMAG1075.JPG,ENO_S1,B03,1,393,2018-11-17,13:02:20,31878765,1,1,1,0.14,0.0,0.86,0.0,0.0,0.14,0.0,0.7,0.68,25,21.0,ENO_S1/B03/B03_R1/ENO_S1_B03_R1_IMAG1075.JPG,"[0.419, 0.424, 0.307, 0.542]",0.977,duiker
7875,4233,4233,4233,4233,4233,4233,4233,4233,4233,4233,4233,4233,4233,4233,4233,4233,6726,ENO_S1#C02#1#44,1,ENO_S1/C02/C02_R1/ENO_S1_C02_R1_IMAG0116.JPG,ENO_S1,C02,1,44,2018-11-10,06:34:32,31953144,2,2,1,0.11,0.0,0.56,1.0,0.0,0.0,,0.9,0.47,32,,ENO_S1/C02/C02_R1/ENO_S1_C02_R1_IMAG0116.JPG,"[0.272, 0.258, 0.008, 0.018]",0.967,gazellegrants
5286,8162,8162,8162,8162,8162,8162,8162,8162,8162,8162,8162,8162,8162,8162,8162,8162,18683,ENO_S1#D03#1#1977,2,ENO_S1/D03/D03_R1/ENO_S1_D03_R1_IMAG3438.JPG,ENO_S1,D03,1,1970,2018-11-23,08:41:26,31958692,1,1,1,0.14,0.0,0.71,0.29,0.0,0.0,0.14,0.7,0.68,16,,ENO_S1/D03/D03_R1/ENO_S1_D03_R1_IMAG3438.JPG,"[0.025, 0.386, 0.09, 0.23]",0.912,dikdik
1684,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,1638,3332,ENO_S1#B05#1#38,1,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0080.JPG,ENO_S1,B05,1,37,2018-10-02,22:17:27,31951777,1,1,1,0.67,0.11,0.33,0.11,0.0,0.0,,0.9,0.47,22,17.0,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0080.JPG,"[0, 0.871, 0.035, 0.097]",0.871,aardvark
9029,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,8493,19288,ENO_S1#D04#2#133,1,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG0289.JPG,ENO_S1,D04,2,127,2018-11-01,08:13:04,31959826,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,35,,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG0289.JPG,"[0.681, 0.289, 0.019, 0.012]",0.964,gazellethomsons
7998,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,1727,3424,ENO_S1#B05#1#71,3,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0169.JPG,ENO_S1,B05,1,70,2018-10-04,12:57:35,31951814,2,2,1,0.1,0.0,1.0,0.0,0.0,0.1,,1.0,0.63,29,1.0,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0169.JPG,"[0.308, 0.314, 0.013, 0.024]",0.244,monkey
2960,8523,8523,8523,8523,8523,8523,8523,8523,8523,8523,8523,8523,8523,8523,8523,8523,19351,ENO_S1#D04#2#151,3,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG0343.JPG,ENO_S1,D04,2,145,2018-11-02,18:00:38,31959846,1,1,1,0.38,0.0,0.12,0.75,0.0,0.0,,0.8,0.64,39,,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG0343.JPG,"[0.294, 0.156, 0.006, 0.008]",0.951,topi
4489,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,3139,5075,ENO_S1#B06#1#40,3,ENO_S1/B06/B06_R1/ENO_S1_B06_R1_IMAG0104.JPG,ENO_S1,B06,1,40,2018-10-02,18:19:25,31952472,2,2,2,0.8,0.0,0.4,0.4,0.1,0.2,,1.0,0.44,1,15.0,ENO_S1/B06/B06_R1/ENO_S1_B06_R1_IMAG0104.JPG,"[0.98, 0.512, 0.02, 0.066]",0.975,zebra
