,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,capture_id,image_rank_in_capture,image_path_rel,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_visible,p_users_identified_this_species,pielous_evenness_index,labels,label,file,bbox,max_detection_conf,question__species
6536,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1374,1507,ENO_S1#B02#1#445,1,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG1093.JPG,ENO_S1,B02,1,440,2018-11-28,16:15:46,31877957,51+,11-50,11-50,1.0,0.14,0.71,0.43,0.0,0.0,,0.7,0.73,6,10.0,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG1093.JPG,"[0.836, 0.296, 0.007, 0.01]",0.589,birdother
9323,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,3165,5110,ENO_S1#B06#1#59,2,ENO_S1/B06/B06_R1/ENO_S1_B06_R1_IMAG0140.JPG,ENO_S1,B06,1,58,2018-10-03,17:46:06,31952491,2,2,1,0.0,0.0,0.86,0.29,0.0,0.0,,0.78,0.62,33,11.0,ENO_S1/B06/B06_R1/ENO_S1_B06_R1_IMAG0140.JPG,"[0.367, 0.416, 0.029, 0.036]",0.961,eland
2072,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,9259,24963,ENO_S1#D06#1#17,3,ENO_S1/D06/D06_R1/ENO_S1_D06_R1_IMAG0049.JPG,ENO_S1,D06,1,17,2018-10-05,07:39:20,32001033,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,9,32.0,ENO_S1/D06/D06_R1/ENO_S1_D06_R1_IMAG0049.JPG,,0.0,hyena
8675,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,2973,4844,ENO_S1#B05#2#377,2,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG0970.JPG,ENO_S1,B05,2,373,2018-11-30,12:58:00,31952150,2,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,0.7,0.73,33,11.0,ENO_S1/B05/B05_R2/ENO_S1_B05_R2_IMAG0970.JPG,"[0.205, 0.23, 0.05, 0.064]",0.776,eland
2288,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,8978,20322,ENO_S1#D04#2#482,3,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG1242.JPG,ENO_S1,D04,2,473,2018-11-29,06:36:54,31960208,11-50,10,8,0.3,0.0,0.3,0.8,0.1,0.0,,1.0,0.0,13,2.0,ENO_S1/D04/D04_R2/ENO_S1_D04_R2_IMAG1242.JPG,"[0.505, 0.108, 0.01, 0.009]",0.94,wildebeest
2138,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,4598,7368,ENO_S1#C04#1#61,2,ENO_S1/C04/C04_R1/ENO_S1_C04_R1_IMAG0138.JPG,ENO_S1,C04,1,58,2018-09-28,07:40:32,31953689,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,,0.7,0.68,38,0.0,ENO_S1/C04/C04_R1/ENO_S1_C04_R1_IMAG0138.JPG,"[0.638, 0.245, 0.357, 0.452]",0.979,hartebeest
4581,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,562,ENO_S1#B02#1#152,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0401.JPG,ENO_S1,B02,1,149,2018-11-08,13:56:42,31877254,1,1,1,0.33,0.0,0.67,0.0,0.0,0.0,,0.3,0.81,34,3.0,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG0401.JPG,"[0.393, 0.3, 0.012, 0.014]",0.793,ostrich
6769,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,1946,3654,ENO_S1#B05#1#189,1,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0407.JPG,ENO_S1,B05,1,177,2018-10-17,19:56:03,31951676,1,1,1,0.38,0.0,0.62,0.0,0.0,0.0,,0.89,0.5,15,14.0,ENO_S1/B05/B05_R1/ENO_S1_B05_R1_IMAG0407.JPG,"[0.059, 0.293, 0.17, 0.16]",0.95,porcupine
6608,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1408,1545,ENO_S1#B02#1#457,2,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG1122.JPG,ENO_S1,B02,1,452,2018-12-01,10:49:46,31877977,11-50,11-50,11-50,0.71,0.29,0.14,0.29,0.14,0.14,,0.88,0.54,6,10.0,ENO_S1/B02/B02_R1/ENO_S1_B02_R1_IMAG1122.JPG,"[0.896, 0.308, 0.007, 0.01]",0.352,birdother
8537,9373,9373,9373,9373,9373,9373,9373,9373,9373,9373,9373,9373,9373,9373,9373,9373,30277,ENO_S1#E05#1#12,2,ENO_S1/E05/E05_R1/ENO_S1_E05_R1_IMAG0035.JPG,ENO_S1,E05,1,12,2018-10-25,16:26:04,32004091,1,1,1,0.67,0.0,0.33,0.0,0.0,0.0,,0.9,0.47,19,,ENO_S1/E05/E05_R1/ENO_S1_E05_R1_IMAG0035.JPG,"[0.054, 0.418, 0.041, 0.038]",0.951,leopard
