,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,capture_id,image_rank_in_capture,image_path_rel,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index,labels,label,file,bbox,max_detection_conf,question__species
1459,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,2936,KGA_S1#A08#1#3,1,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0007.JPG,KGA_S1,A08,1,3,2018-11-28,04:53:39,33328299,2,1.0,1.0,0.4,0.0,0.6,0.0,0.0,,,,,0.56,0.75,17,,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0007.JPG,"[0.886, 0.347, 0.091, 0.09]",0.804,lion
1403,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,3945,KGA_S1#B01#1#35,1,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0067.JPG,KGA_S1,B01,1,35,2018-12-30,21:42:52,33328768,1,1.0,1.0,0.2,0.0,0.8,0.0,0.0,0.0,,,,1.0,0.0,15,14.0,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0067.JPG,"[0.07, 0.141, 0.535, 0.652]",0.901,porcupine
124,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,334,KGA_S1#A01#1#130,1,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0340.JPG,KGA_S1,A01,1,130,2018-11-04,19:40:45,33327071,2,2.0,2.0,0.44,0.0,0.44,0.56,0.0,0.11,,,,1.0,0.0,33,11.0,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0340.JPG,"[0.588, 0.207, 0.176, 0.264]",0.965,eland
438,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,625,1592,KGA_S1#A05#1#71,3,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0201.JPG,KGA_S1,A05,1,71,2018-12-08,10:54:32,33327818,1,1.0,1.0,0.27,0.0,0.82,0.09,0.0,0.0,,,,1.0,0.0,5,5.0,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0201.JPG,"[0.046, 0.571, 0.514, 0.196]",0.96,jackal
544,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,2200,KGA_S1#A06#1#86,1,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0246.JPG,KGA_S1,A06,1,86,2018-12-06,05:39:18,33328027,4,2.0,2.0,0.17,0.0,0.92,0.67,0.0,0.0,,,,0.8,1.0,33,11.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0246.JPG,"[0.98, 0.287, 0.02, 0.143]",0.898,eland
1924,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,4478,KGA_S1#B03#1#15,1,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,KGA_S1,B03,1,15,2018-12-19,03:24:37,33329288,1,1.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,,,,0.9,0.47,22,17.0,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,"[0, 0.694, 0.373, 0.122]",0.968,aardvark
1185,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,2266,KGA_S1#A06#1#110,3,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0310.JPG,KGA_S1,A06,1,110,2018-12-11,05:39:42,33328050,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.29,0.93,25,21.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0310.JPG,"[0, 0.442, 0.064, 0.483]",0.732,duiker
1281,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,2266,KGA_S1#A06#1#110,3,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0310.JPG,KGA_S1,A06,1,110,2018-12-11,05:39:42,33328050,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.29,0.93,25,21.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0310.JPG,"[0, 0.442, 0.064, 0.483]",0.732,duiker
575,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,3543,KGA_S1#A09#1#73,2,KGA_S1/A09/A09_R1/KGA_S1_A09_R1_IMAG0204.JPG,KGA_S1,A09,1,73,2019-01-11,07:08:55,33328576,4,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,,,,1.0,0.0,38,0.0,KGA_S1/A09/A09_R1/KGA_S1_A09_R1_IMAG0204.JPG,"[0.605, 0.569, 0.041, 0.04]",0.935,hartebeest
926,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,4433,KGA_S1#B02#1#162,2,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0457.JPG,KGA_S1,B02,1,162,2019-01-11,06:39:52,33329225,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.75,0.81,30,,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0457.JPG,"[0.992, 0.368, 0.008, 0.047]",0.887,cheetah
1692,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,981,2662,KGA_S1#A06#1#255,1,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0707.JPG,KGA_S1,A06,1,255,2019-01-08,08:04:04,33328195,2,2.0,1.0,0.7,0.0,0.8,0.0,0.0,0.0,,,,0.83,0.65,38,0.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0707.JPG,"[0, 0.286, 0.028, 0.052]",0.958,hartebeest
618,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,4433,KGA_S1#B02#1#162,2,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0457.JPG,KGA_S1,B02,1,162,2019-01-11,06:39:52,33329225,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.75,0.81,30,,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0457.JPG,"[0.992, 0.368, 0.008, 0.047]",0.887,cheetah
1561,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,1099,KGA_S1#A03#1#8,2,KGA_S1/A03/A03_R1/KGA_S1_A03_R1_IMAG0021.JPG,KGA_S1,A03,1,8,2018-12-08,13:09:30,33327558,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.77,0.63,25,21.0,KGA_S1/A03/A03_R1/KGA_S1_A03_R1_IMAG0021.JPG,,0.0,duiker
296,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,2808,KGA_S1#A07#1#27,1,KGA_S1/A07/A07_R1/KGA_S1_A07_R1_IMAG0061.JPG,KGA_S1,A07,1,27,2018-12-11,20:56:05,33328251,1,1.0,1.0,0.1,0.0,0.9,0.0,0.0,0.0,,,,0.91,0.44,20,20.0,KGA_S1/A07/A07_R1/KGA_S1_A07_R1_IMAG0061.JPG,"[0.418, 0.424, 0.056, 0.201]",0.909,fox
1611,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,1055,2921,KGA_S1#A07#1#70,1,KGA_S1/A07/A07_R1/KGA_S1_A07_R1_IMAG0174.JPG,KGA_S1,A07,1,70,2019-01-11,11:01:21,33328294,1,1.0,1.0,0.7,0.0,0.3,0.0,0.0,0.0,,,,0.91,0.44,6,10.0,KGA_S1/A07/A07_R1/KGA_S1_A07_R1_IMAG0174.JPG,"[0.132, 0.695, 0.034, 0.066]",0.744,birdother
149,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,1384,3912,KGA_S1#B01#1#20,1,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0034.JPG,KGA_S1,B01,1,20,2018-12-12,08:48:16,33328753,1,1.0,1.0,0.1,0.0,0.9,0.0,0.0,0.0,,,,1.0,0.0,5,5.0,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0034.JPG,"[0.971, 0.482, 0.029, 0.161]",0.776,jackal
2272,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,1297,3566,KGA_S1#A10#1#6,1,KGA_S1/A10/A10_R1/KGA_S1_A10_R1_IMAG0016.JPG,KGA_S1,A10,1,6,2018-12-02,01:46:20,33328584,1,1.0,1.0,0.45,0.0,0.55,0.0,0.0,0.0,,,,0.52,0.81,9,32.0,KGA_S1/A10/A10_R1/KGA_S1_A10_R1_IMAG0016.JPG,"[0.868, 0.536, 0.132, 0.182]",0.906,hyena
2307,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,4478,KGA_S1#B03#1#15,1,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,KGA_S1,B03,1,15,2018-12-19,03:24:37,33329288,1,1.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,,,,0.9,0.47,22,17.0,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,"[0, 0.694, 0.373, 0.122]",0.968,aardvark
2194,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,2241,KGA_S1#A06#1#99,2,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0284.JPG,KGA_S1,A06,1,99,2018-12-08,18:31:16,33328040,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.91,0.44,33,11.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0284.JPG,"[0.932, 0.412, 0.068, 0.106]",0.881,eland
838,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,3945,KGA_S1#B01#1#35,1,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0067.JPG,KGA_S1,B01,1,35,2018-12-30,21:42:52,33328768,1,1.0,1.0,0.2,0.0,0.8,0.0,0.0,0.0,,,,1.0,0.0,15,14.0,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0067.JPG,"[0.07, 0.141, 0.535, 0.652]",0.901,porcupine
1386,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,3109,KGA_S1#A08#1#62,1,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0180.JPG,KGA_S1,A08,1,62,2018-12-15,05:05:22,33328374,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.56,0.83,9,32.0,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0180.JPG,"[0.598, 0.408, 0.122, 0.064]",0.504,hyena
1514,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,3543,KGA_S1#A09#1#73,2,KGA_S1/A09/A09_R1/KGA_S1_A09_R1_IMAG0204.JPG,KGA_S1,A09,1,73,2019-01-11,07:08:55,33328576,4,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,,,,1.0,0.0,38,0.0,KGA_S1/A09/A09_R1/KGA_S1_A09_R1_IMAG0204.JPG,"[0.605, 0.569, 0.041, 0.04]",0.935,hartebeest
480,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,688,1935,KGA_S1#A05#1#196,2,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0547.JPG,KGA_S1,A05,1,196,2019-01-12,07:00:51,33327940,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,19,,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0547.JPG,"[0.844, 0.454, 0.155, 0.151]",0.919,leopard
2072,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,4267,KGA_S1#B02#1#100,1,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0290.JPG,KGA_S1,B02,1,100,2018-12-20,04:19:10,33329137,1,1.0,1.0,0.9,0.0,0.0,0.1,0.0,0.0,,,,1.0,0.0,15,14.0,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0290.JPG,"[0.583, 0.418, 0.19, 0.255]",0.947,porcupine
240,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,4478,KGA_S1#B03#1#15,1,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,KGA_S1,B03,1,15,2018-12-19,03:24:37,33329288,1,1.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,,,,0.9,0.47,22,17.0,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,"[0, 0.694, 0.373, 0.122]",0.968,aardvark
70,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,3945,KGA_S1#B01#1#35,1,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0067.JPG,KGA_S1,B01,1,35,2018-12-30,21:42:52,33328768,1,1.0,1.0,0.2,0.0,0.8,0.0,0.0,0.0,,,,1.0,0.0,15,14.0,KGA_S1/B01/B01_R1/KGA_S1_B01_R1_IMAG0067.JPG,"[0.07, 0.141, 0.535, 0.652]",0.901,porcupine
1163,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,3831,KGA_S1#A11#1#85,1,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0239.JPG,KGA_S1,A11,1,85,2018-12-17,07:52:41,33328700,1,1.0,1.0,0.9,0.0,0.1,0.0,0.0,0.0,,,,0.53,0.77,25,21.0,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0239.JPG,"[0.984, 0.475, 0.016, 0.173]",0.579,duiker
2261,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,3584,KGA_S1#A10#1#16,1,KGA_S1/A10/A10_R1/KGA_S1_A10_R1_IMAG0036.JPG,KGA_S1,A10,1,16,2018-12-30,03:39:52,33328592,1,1.0,1.0,0.83,0.0,0.17,0.0,0.0,0.0,1.0,1.0,,0.38,0.88,25,21.0,KGA_S1/A10/A10_R1/KGA_S1_A10_R1_IMAG0036.JPG,"[0.12, 0.356, 0.519, 0.61]",0.955,duiker
73,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,2936,KGA_S1#A08#1#3,1,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0007.JPG,KGA_S1,A08,1,3,2018-11-28,04:53:39,33328299,2,1.0,1.0,0.4,0.0,0.6,0.0,0.0,,,,,0.56,0.75,17,,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0007.JPG,"[0.886, 0.347, 0.091, 0.09]",0.804,lion
602,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,1058,2936,KGA_S1#A08#1#3,1,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0007.JPG,KGA_S1,A08,1,3,2018-11-28,04:53:39,33328299,2,1.0,1.0,0.4,0.0,0.6,0.0,0.0,,,,,0.56,0.75,17,,KGA_S1/A08/A08_R1/KGA_S1_A08_R1_IMAG0007.JPG,"[0.886, 0.347, 0.091, 0.09]",0.804,lion
2168,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,4432,KGA_S1#B02#1#162,1,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0456.JPG,KGA_S1,B02,1,162,2019-01-11,06:39:52,33329225,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.75,0.81,30,,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0456.JPG,"[0.198, 0.347, 0.013, 0.018]",0.931,cheetah
1740,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,1325,3812,KGA_S1#A11#1#76,3,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0220.JPG,KGA_S1,A11,1,76,2018-12-09,05:48:59,33328687,1,1.0,1.0,0.2,0.0,0.9,0.0,0.0,0.0,,,,0.77,0.78,19,,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0220.JPG,,0.0,leopard
1838,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,3833,KGA_S1#A11#1#85,3,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0241.JPG,KGA_S1,A11,1,85,2018-12-17,07:52:41,33328700,1,1.0,1.0,0.9,0.0,0.1,0.0,0.0,0.0,,,,0.53,0.77,25,21.0,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0241.JPG,"[0.976, 0.4, 0.024, 0.342]",0.399,duiker
332,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,843,2238,KGA_S1#A06#1#98,2,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0281.JPG,KGA_S1,A06,1,98,2018-12-08,18:10:38,33328039,4,3.0,1.0,0.2,0.0,0.8,0.6,0.0,0.2,,,,0.56,0.73,33,11.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0281.JPG,"[0.994, 0.304, 0.006, 0.043]",0.909,eland
1769,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,602,1518,KGA_S1#A05#1#46,2,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0127.JPG,KGA_S1,A05,1,46,2018-12-03,12:44:21,33327785,1,1.0,1.0,0.45,0.0,0.09,0.73,0.0,0.0,,,,1.0,0.0,6,10.0,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0127.JPG,"[0.081, 0.676, 0.029, 0.024]",0.085,birdother
886,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,4453,KGA_S1#B03#1#4,2,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0011.JPG,KGA_S1,B03,1,4,2018-12-05,09:44:24,33329262,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.83,0.52,5,5.0,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0011.JPG,,0.0,jackal
157,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,1517,4432,KGA_S1#B02#1#162,1,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0456.JPG,KGA_S1,B02,1,162,2019-01-11,06:39:52,33329225,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.75,0.81,30,,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0456.JPG,"[0.198, 0.347, 0.013, 0.018]",0.931,cheetah
817,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,1679,KGA_S1#A05#1#104,3,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0290.JPG,KGA_S1,A05,1,104,2018-12-12,06:55:47,33327849,7,5.0,4.0,0.18,0.0,0.91,0.91,0.0,0.0,,,,0.92,0.41,33,11.0,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0290.JPG,"[0, 0.075, 0.053, 0.5]",0.951,eland
1833,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,4478,KGA_S1#B03#1#15,1,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,KGA_S1,B03,1,15,2018-12-19,03:24:37,33329288,1,1.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,,,,0.9,0.47,22,17.0,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,"[0, 0.694, 0.373, 0.122]",0.968,aardvark
1477,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,2008,KGA_S1#A06#1#26,2,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0069.JPG,KGA_S1,A06,1,26,2018-12-01,06:55:12,33327967,3,3.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,13,2.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0069.JPG,"[0, 0.144, 0.021, 0.371]",0.933,wildebeest
891,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,9496,KGA_S1#B07#1#42,1,KGA_S1/B07/B07_R1/KGA_S1_B07_R1_IMAG0112.JPG,KGA_S1,B07,1,42,2018-12-24,10:36:06,33333008,1,1.0,1.0,0.4,0.1,0.7,0.0,0.0,0.0,,,,1.0,0.0,6,10.0,KGA_S1/B07/B07_R1/KGA_S1_B07_R1_IMAG0112.JPG,"[0.646, 0.698, 0.13, 0.131]",0.912,birdother
900,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,689,1936,KGA_S1#A05#1#196,3,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0548.JPG,KGA_S1,A05,1,196,2019-01-12,07:00:51,33327940,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,19,,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0548.JPG,"[0.966, 0.476, 0.034, 0.142]",0.795,leopard
440,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,325,KGA_S1#A01#1#126,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0331.JPG,KGA_S1,A01,1,126,2018-11-04,13:18:30,33327067,4,4.0,3.0,1.0,0.1,0.3,0.0,0.2,1.0,,,,1.0,0.0,34,3.0,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0331.JPG,"[0.973, 0.828, 0.027, 0.078]",0.838,ostrich
636,628,628,628,628,628,628,628,628,628,628,628,628,628,628,628,628,1676,KGA_S1#A05#1#103,1,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0287.JPG,KGA_S1,A05,1,103,2018-12-11,23:20:12,33327848,1,1.0,1.0,0.4,0.0,0.5,0.1,0.0,0.0,,,,0.53,0.78,33,11.0,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0287.JPG,"[0.562, 0, 0.437, 0.858]",0.951,eland
51,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,717,2030,KGA_S1#A06#1#31,3,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0085.JPG,KGA_S1,A06,1,31,2018-12-01,07:00:34,33327972,7,6.0,4.0,0.5,0.0,0.2,1.0,0.0,0.0,,,,1.0,0.0,13,2.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0085.JPG,"[0.458, 0.376, 0.024, 0.027]",0.94,wildebeest
1232,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,1106,KGA_S1#A03#1#10,3,KGA_S1/A03/A03_R1/KGA_S1_A03_R1_IMAG0028.JPG,KGA_S1,A03,1,10,2018-12-26,19:34:44,33327561,1,1.0,1.0,0.4,0.0,0.8,0.0,0.1,0.0,1.0,,,0.83,0.65,25,21.0,KGA_S1/A03/A03_R1/KGA_S1_A03_R1_IMAG0028.JPG,"[0.277, 0.496, 0.216, 0.34]",0.972,duiker
1344,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,4478,KGA_S1#B03#1#15,1,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,KGA_S1,B03,1,15,2018-12-19,03:24:37,33329288,1,1.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,,,,0.9,0.47,22,17.0,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,"[0, 0.694, 0.373, 0.122]",0.968,aardvark
1418,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,4478,KGA_S1#B03#1#15,1,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,KGA_S1,B03,1,15,2018-12-19,03:24:37,33329288,1,1.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,,,,0.9,0.47,22,17.0,KGA_S1/B03/B03_R1/KGA_S1_B03_R1_IMAG0037.JPG,"[0, 0.694, 0.373, 0.122]",0.968,aardvark
841,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,724,2037,KGA_S1#A06#1#34,1,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0092.JPG,KGA_S1,A06,1,34,2018-12-01,07:04:18,33327975,11-50,9.0,4.0,0.36,0.0,0.91,0.91,0.09,0.18,,,,1.0,0.0,13,2.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0092.JPG,"[0.079, 0.258, 0.014, 0.018]",0.945,wildebeest
1637,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,695,2008,KGA_S1#A06#1#26,2,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0069.JPG,KGA_S1,A06,1,26,2018-12-01,06:55:12,33327967,3,3.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,13,2.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0069.JPG,"[0, 0.144, 0.021, 0.371]",0.933,wildebeest
1720,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,1031,2836,KGA_S1#A07#1#39,1,KGA_S1/A07/A07_R1/KGA_S1_A07_R1_IMAG0089.JPG,KGA_S1,A07,1,39,2018-12-20,21:28:40,33328263,1,1.0,1.0,0.36,0.0,0.64,0.0,0.0,0.0,,,,0.58,0.76,20,20.0,KGA_S1/A07/A07_R1/KGA_S1_A07_R1_IMAG0089.JPG,"[0.168, 0.43, 0.186, 0.205]",0.961,fox
1894,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,1291,3542,KGA_S1#A09#1#73,1,KGA_S1/A09/A09_R1/KGA_S1_A09_R1_IMAG0203.JPG,KGA_S1,A09,1,73,2019-01-11,07:08:55,33328576,4,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6,,,,1.0,0.0,38,0.0,KGA_S1/A09/A09_R1/KGA_S1_A09_R1_IMAG0203.JPG,"[0.528, 0.543, 0.027, 0.043]",0.963,hartebeest
1340,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461,4267,KGA_S1#B02#1#100,1,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0290.JPG,KGA_S1,B02,1,100,2018-12-20,04:19:10,33329137,1,1.0,1.0,0.9,0.0,0.0,0.1,0.0,0.0,,,,1.0,0.0,15,14.0,KGA_S1/B02/B02_R1/KGA_S1_B02_R1_IMAG0290.JPG,"[0.583, 0.418, 0.19, 0.255]",0.947,porcupine
