,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,capture_id,image_rank_in_capture,image_path_rel,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,question__horns_count_max,question__horns_count_median,question__horns_count_min,p_users_identified_this_species,pielous_evenness_index,labels,label,file,bbox,max_detection_conf,question__species
67,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,849,2253,KGA_S1#A06#1#104,1,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0296.JPG,KGA_S1,A06,1,104,2018-12-10,12:32:35,33328045,1,1.0,1.0,0.36,0.0,0.64,0.0,0.0,0.0,,,,0.69,0.64,38,0.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0296.JPG,"[0, 0.164, 0.157, 0.336]",0.85,hartebeest
1391,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,871,2318,KGA_S1#A06#1#129,2,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0362.JPG,KGA_S1,A06,1,129,2018-12-14,06:37:26,33328069,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.33,0.89,4,8.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0362.JPG,"[0.029, 0.012, 0.466, 0.929]",0.958,kudu
1766,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,1363,3863,KGA_S1#A11#1#100,1,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0272.JPG,KGA_S1,A11,1,100,2019-01-10,23:52:51,33328720,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,50,,KGA_S1/A11/A11_R1/KGA_S1_A11_R1_IMAG0272.JPG,"[0.44, 0.53, 0.216, 0.168]",0.961,badger
1410,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,862,2309,KGA_S1#A06#1#126,2,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0353.JPG,KGA_S1,A06,1,126,2018-12-14,06:34:20,33328066,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.71,0.62,4,8.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0353.JPG,"[0.0, 0, 0.288, 0.671]",0.978,kudu
48,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,172,KGA_S1#A01#1#75,2,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0178.JPG,KGA_S1,A01,1,75,2018-11-03,10:24:38,33327016,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.8,0.78,46,26.0,KGA_S1/A01/A01_R1/KGA_S1_A01_R1_IMAG0178.JPG,"[0.589, 0.09, 0.033, 0.032]",0.849,reptile
1216,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,1748,9733,KGA_S1#B08#1#44,1,KGA_S1/B08/B08_R1/KGA_S1_B08_R1_IMAG0112.JPG,KGA_S1,B08,1,44,2019-01-12,23:06:32,33333093,1,1.0,1.0,0.3,0.0,0.6,0.0,0.1,0.0,,,,0.83,0.52,0,9.0,KGA_S1/B08/B08_R1/KGA_S1_B08_R1_IMAG0112.JPG,"[0.405, 0.383, 0.226, 0.444]",0.926,african-small-wildcat
632,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820,2200,KGA_S1#A06#1#86,1,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0246.JPG,KGA_S1,A06,1,86,2018-12-06,05:39:18,33328027,4,2.0,2.0,0.17,0.0,0.92,0.67,0.0,0.0,,,,0.8,1.0,33,11.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0246.JPG,"[0.98, 0.287, 0.02, 0.143]",0.898,eland
618,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,9884,KGA_S1#B09#1#50,3,KGA_S1/B09/B09_R1/KGA_S1_B09_R1_IMAG0148.JPG,KGA_S1,B09,1,50,2018-12-05,17:23:59,33333144,1,1.0,1.0,0.2,0.0,1.0,0.0,0.0,0.0,,,,1.0,0.0,49,31.0,KGA_S1/B09/B09_R1/KGA_S1_B09_R1_IMAG0148.JPG,"[0.84, 0.327, 0.109, 0.177]",0.851,secretarybird
764,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,2046,KGA_S1#A06#1#36,1,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0098.JPG,KGA_S1,A06,1,36,2018-12-01,07:07:41,33327977,4,4.0,1.0,0.7,0.0,0.1,0.6,0.0,0.0,,,,0.62,0.96,42,16.0,KGA_S1/A06/A06_R1/KGA_S1_A06_R1_IMAG0098.JPG,"[0.365, 0.252, 0.011, 0.011]",0.918,gemsbok
124,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,2139,10157,KGA_S1#B09#1#143,2,KGA_S1/B09/B09_R1/KGA_S1_B09_R1_IMAG0420.JPG,KGA_S1,B09,1,143,2019-01-01,12:31:05,33333237,1,1.0,1.0,0.91,0.0,0.09,0.0,0.0,0.0,,,,0.85,0.76,45,25.0,KGA_S1/B09/B09_R1/KGA_S1_B09_R1_IMAG0420.JPG,"[0.327, 0.388, 0.046, 0.083]",0.824,bustard
1927,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,1590,KGA_S1#A05#1#71,1,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0199.JPG,KGA_S1,A05,1,71,2018-12-08,10:54:32,33327818,1,1.0,1.0,0.27,0.0,0.82,0.09,0.0,0.0,,,,1.0,0.0,5,5.0,KGA_S1/A05/A05_R1/KGA_S1_A05_R1_IMAG0199.JPG,"[0.771, 0.413, 0.012, 0.019]",0.946,jackal
