,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Unnamed: 0.1_x,Unnamed: 0_x,capture_id,image_rank_in_capture,image_path_rel,Unnamed: 0.1_y,Unnamed: 0_y,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,p_users_identified_this_species,pielous_evenness_index,question__horns_visible,labels,label,file,bbox,max_detection_conf,question__species
9642,95624,95624,95624,95624,95624,95624,95624,95624,95624,95624,95624,95624,95624,95624,95624,95624,187739,6864468,185429,SER_S11#G06#2#859,3,SER_S11/G06/G06_R2/SER_S11_G06_R2_IMAG2549.JPG,2570585,73200,SER_S11,G06,2,859,2015-11-25,08:48:34,27730909,1,1,1,0.17,0.17,1.0,0.0,0.0,0.17,0.6,0.97,,26,,SER_S11/G06/G06_R2/SER_S11_G06_R2_IMAG2549.JPG,"[0.198, 0.398, 0.406, 0.441]",0.992,rhinoceros
9410,74241,74241,74241,74241,74241,74241,74241,74241,74241,74241,74241,74241,74241,74241,74241,74241,478303,7150387,471348,SER_S11#R08#2#446,1,SER_S11/R08/R08_R2/SER_S11_R08_R2_IMAG0913.JPG,2677776,180391,SER_S11,R08,2,446,2015-11-28,16:29:15,31602727,9,7,5,0.22,0.0,0.67,0.78,0.11,0.0,1.0,0.0,,1,15.0,SER_S11/R08/R08_R2/SER_S11_R08_R2_IMAG0913.JPG,"[0.826, 0.351, 0.174, 0.25]",0.995,zebra
8054,89667,89667,89667,89667,89667,89667,89667,89667,89667,89667,89667,89667,89667,89667,89667,89667,112459,6789960,110921,SER_S11#E04#2#226,3,SER_S11/E04/E04_R2/SER_S11_E04_R2_IMAG0531.JPG,2542035,44650,SER_S11,E04,2,226,2015-12-15,09:50:49,21930995,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.39,0.83,0.0,11,,SER_S11/E04/E04_R2/SER_S11_E04_R2_IMAG0531.JPG,"[0.632, 0.252, 0.368, 0.748]",0.999,impala
4228,60029,60029,60029,60029,60029,60029,60029,60029,60029,60029,60029,60029,60029,60029,60029,60029,378103,7050953,371914,SER_S11#M09#1#1834,2,SER_S11/M09/M09_R1/SER_S11_M09_R1_IMAG5053.JPG,2641819,144434,SER_S11,M09,1,1834,2015-09-09,17:27:40,29811670,11-50,8,1,0.67,0.11,0.22,1.0,0.0,0.22,1.0,0.0,,35,,SER_S11/M09/M09_R1/SER_S11_M09_R1_IMAG5053.JPG,"[0.477, 0.537, 0.172, 0.183]",0.983,gazellethomsons
4587,46230,46230,46230,46230,46230,46230,46230,46230,46230,46230,46230,46230,46230,46230,46230,46230,171897,6848803,169764,SER_S11#G03#2#290,2,SER_S11/G03/G03_R2/SER_S11_G03_R2_IMAG0656.JPG,2564316,66931,SER_S11,G03,2,290,2015-11-24,16:22:18,21954340,2,1,1,0.17,0.0,1.0,0.17,0.0,0.0,0.5,0.86,,13,2.0,SER_S11/G03/G03_R2/SER_S11_G03_R2_IMAG0656.JPG,,0.0,wildebeest
4537,43729,43729,43729,43729,43729,43729,43729,43729,43729,43729,43729,43729,43729,43729,43729,43729,306195,6979502,300463,SER_S11#K06#2#187,1,SER_S11/K06/K06_R2/SER_S11_K06_R2_IMAG0518.JPG,2615894,118509,SER_S11,K06,2,187,2015-11-07,12:24:49,29744967,6,5,3,0.89,0.0,0.78,0.22,0.0,0.33,0.9,0.47,,13,2.0,SER_S11/K06/K06_R2/SER_S11_K06_R2_IMAG0518.JPG,"[0.219, 0.506, 0.236, 0.239]",0.968,wildebeest
9311,37491,37491,37491,37491,37491,37491,37491,37491,37491,37491,37491,37491,37491,37491,37491,37491,300933,6974660,295621,SER_S11#K03#1#330,3,SER_S11/K03/K03_R1/SER_S11_K03_R1_IMAG0823.JPG,2613909,116524,SER_S11,K03,1,330,2015-08-28,17:43:50,29743124,51+,11-50,1,0.5,0.0,0.4,1.0,0.0,0.3,1.0,0.63,,1,15.0,SER_S11/K03/K03_R1/SER_S11_K03_R1_IMAG0823.JPG,"[0.537, 0.52, 0.197, 0.189]",0.997,zebra
6435,103240,103240,103240,103240,103240,103240,103240,103240,103240,103240,103240,103240,103240,103240,103240,103240,200967,6877165,198126,SER_S11#H02#1#788,2,SER_S11/H02/H02_R1/SER_S11_H02_R1_IMAG1956.JPG,2575365,77980,SER_S11,H02,1,788,2015-08-20,18:17:12,27828123,11-50,11-50,1,0.44,0.0,0.89,0.44,0.11,0.0,0.9,0.47,,13,2.0,SER_S11/H02/H02_R1/SER_S11_H02_R1_IMAG1956.JPG,"[0.069, 0.474, 0.294, 0.288]",0.997,wildebeest
1785,74673,74673,74673,74673,74673,74673,74673,74673,74673,74673,74673,74673,74673,74673,74673,74673,32545,6711257,32218,SER_S11#C02#1#383,3,SER_S11/C02/C02_R1/SER_S11_C02_R1_IMAG0878.JPG,2509818,12433,SER_S11,C02,1,383,2015-10-06,11:33:59,18877965,11-50,7,4,1.0,0.08,0.0,0.0,0.0,0.0,0.72,0.7,,13,2.0,SER_S11/C02/C02_R1/SER_S11_C02_R1_IMAG0878.JPG,"[0.38, 0.383, 0.056, 0.067]",0.994,wildebeest
8911,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,467933,7140035,460996,SER_S11#Q07#2#74,2,SER_S11/Q07/Q07_R2/SER_S11_Q07_R2_IMAG0178.JPG,2674054,176669,SER_S11,Q07,2,74,2015-11-03,17:53:09,31565320,2,2,1,0.44,0.0,0.33,0.33,0.0,0.0,0.9,0.47,,35,,SER_S11/Q07/Q07_R2/SER_S11_Q07_R2_IMAG0178.JPG,"[0.0, 0.677, 0.197, 0.323]",0.995,gazellethomsons
